nombre_persona,cedula,edad,genero,numero_celular,gmail,vendedor,fecha_venta,valor_vehiculo,iva,valor_total
Andrés Hernández,15651037,50,F,3830572977,andrés.hernández@gmail.com,SuperAutos,2022-06-04,167951594.06,31910802,199862396.06
Ana Torres,45073792,34,F,3238621786,ana.torres@gmail.com,MotorCity,2021-01-01,175995735.41,33439189,209434924.41
Camila García,34830286,42,M,3944792414,camila.garcía@gmail.com,MotorCity,2021-08-29,133379141.14,25342036,158721177.14
Camila Torres,15995229,27,F,3071353017,camila.torres@gmail.com,SuperAutos,2024-11-03,178849792.08,33981460,212831252.08
Laura Moreno,44988188,26,F,3693856204,laura.moreno@gmail.com,MotorCity,2024-03-06,55006654.52,10451264,65457918.52
María Martínez,3727894,52,M,3151228870,maría.martínez@gmail.com,MotorCity,2021-07-27,73100653.67,13889124,86989777.67
Juan Martínez,80832804,23,F,3021949573,juan.martínez@gmail.com,SuperAutos,2023-10-13,71228473.35,13533409,84761882.35
María Gómez,43513371,75,M,3294050053,maría.gómez@gmail.com,MotorCity,2023-12-22,112520087.54,21378816,133898903.54
Andrés Moreno,79433204,69,F,3450704226,andrés.moreno@gmail.com,Vehimotors,2023-08-06,66141162.97,12566820,78707982.97
Pedro Pérez,72590958,67,F,3346496100,pedro.pérez@gmail.com,SuperAutos,2023-08-18,47730196.9,9068737,56798933.9
Camila Gómez,24493307,26,M,3743383167,camila.gómez@gmail.com,CarrosYA,2023-03-24,66522120.38,12639202,79161322.38
Carlos Ramírez,94832740,70,M,3574354946,carlos.ramírez@gmail.com,MotorCity,2020-06-08,158981340.03,30206454,189187794.03
Laura Hernández,75067597,52,F,3627386574,laura.hernández@gmail.com,Vehimotors,2021-03-19,32351749.41,6146832,38498581.41
Sofía Martínez,77785525,25,M,3199814674,sofía.martínez@gmail.com,CarrosYA,2021-07-27,73209498.85,13909804,87119302.85
Ana García,77305367,70,M,3357767783,ana.garcía@gmail.com,SuperAutos,2021-10-31,130949640.75,24880431,155830071.75
Pedro Hernández,59573293,58,F,3475494002,pedro.hernández@gmail.com,AutoCenter,2023-10-25,153331634.09,29133010,182464644.09
Sofía García,51987820,73,F,3759317168,sofía.garcía@gmail.com,CarrosYA,2023-11-15,81258189.3,15439055,96697244.3
Andrés Moreno,49149923,64,M,3593539545,andrés.moreno@gmail.com,CarrosYA,2022-01-04,126098604.56,23958734,150057338.56
Camila García,1392402,61,M,3862045275,camila.garcía@gmail.com,MotorCity,2021-05-07,71917468.11,13664318,85581786.11
Juan Hernández,29905370,61,F,3930323597,juan.hernández@gmail.com,MotorCity,2022-08-12,166892095.26,31709498,198601593.26
Luis García,74621804,64,F,3461074015,luis.garcía@gmail.com,AutoCenter,2020-12-16,49037016.26,9317033,58354049.26
Sofía Hernández,65025623,62,F,3720285241,sofía.hernández@gmail.com,CarrosYA,2020-09-06,52166789.57,9911690,62078479.57
Sofía Pérez,60872777,27,F,3719566708,sofía.pérez@gmail.com,CarrosYA,2023-10-06,104464655.67,19848284,124312939.67
Carlos Hernández,17322017,80,M,3598593106,carlos.hernández@gmail.com,AutoCenter,2023-04-08,181507675.61,34486458,215994133.61
Sofía Hernández,72112866,19,M,3215610793,sofía.hernández@gmail.com,Vehimotors,2022-03-27,141649833.8,26913468,168563301.8
Sofía Hernández,4671296,41,F,3781836893,sofía.hernández@gmail.com,AutoCenter,2021-07-26,110822065.02,21056192,131878257.02
Pedro García,16541812,42,F,3064018480,pedro.garcía@gmail.com,Vehimotors,2022-08-13,144288589.06,27414831,171703420.06
Sofía Ramírez,80748333,42,F,3488585663,sofía.ramírez@gmail.com,AutoCenter,2022-11-02,75410311.84,14327959,89738270.84
María Hernández,11848211,53,F,3632664903,maría.hernández@gmail.com,Vehimotors,2024-03-01,127435109.76,24212670,151647779.76
Pedro Moreno,91415417,69,M,3491973131,pedro.moreno@gmail.com,Vehimotors,2024-08-16,145613748.77,27666612,173280360.77
Luis Moreno,39374778,41,F,3870763641,luis.moreno@gmail.com,SuperAutos,2024-09-03,74554652.06,14165383,88720035.06
Luis Moreno,88850525,58,F,3716861476,luis.moreno@gmail.com,MotorCity,2024-01-08,141964856.5,26973322,168938178.5
Sofía García,94224933,71,M,3737522914,sofía.garcía@gmail.com,AutoCenter,2024-01-28,147948938.85,28110298,176059236.85
María Torres,58592505,35,F,3979615441,maría.torres@gmail.com,CarrosYA,2022-09-01,69574857.14,13219222,82794079.14
Ana López,36268257,65,F,3570911683,ana.lópez@gmail.com,Vehimotors,2020-06-23,88247085.68,16766946,105014031.68
Laura Moreno,74998225,58,M,3437851613,laura.moreno@gmail.com,SuperAutos,2023-09-29,69408418.46,13187599,82596017.46
Luis Torres,89465197,25,F,3155118002,luis.torres@gmail.com,SuperAutos,2020-10-25,192248441.8,36527203,228775644.8
Laura Ramírez,71338343,45,F,3058155927,laura.ramírez@gmail.com,Vehimotors,2024-04-18,147501150.08,28025218,175526368.08
Andrés López,48550803,56,M,3092054685,andrés.lópez@gmail.com,MotorCity,2022-04-04,164310131.62,31218925,195529056.62
Laura Gómez,61960051,55,M,3059980447,laura.gómez@gmail.com,SuperAutos,2022-06-13,56989957.55,10828091,67818048.55
María Gómez,67441812,37,M,3739145341,maría.gómez@gmail.com,CarrosYA,2022-02-10,167348837.67,31796279,199145116.67
Laura Pérez,96890786,66,F,3089406527,laura.pérez@gmail.com,SuperAutos,2024-11-06,62946241.02,11959785,74906026.02
Pedro García,21652286,78,F,3473857369,pedro.garcía@gmail.com,SuperAutos,2024-05-24,77423140.85,14710396,92133536.85
Ana Rodríguez,36210967,54,M,3919185386,ana.rodríguez@gmail.com,MotorCity,2024-10-20,122759389.9,23324284,146083673.9
Camila Torres,27204494,56,M,3571715470,camila.torres@gmail.com,CarrosYA,2022-06-14,60500671.71,11495127,71995798.71
María Gómez,42378370,79,M,3421275165,maría.gómez@gmail.com,MotorCity,2023-03-08,39226567.23,7453047,46679614.23
Luis Moreno,17077959,59,F,3659020492,luis.moreno@gmail.com,CarrosYA,2020-04-15,144211454.63,27400176,171611630.63
María García,75252686,45,F,3730216216,maría.garcía@gmail.com,MotorCity,2022-06-22,75446177.78,14334773,89780950.78
Camila Rodríguez,57884883,71,F,3279252928,camila.rodríguez@gmail.com,AutoCenter,2022-10-11,56135300.44,10665707,66801007.44
Pedro García,34910128,40,M,3763488873,pedro.garcía@gmail.com,AutoCenter,2020-09-25,75610813.45,14366054,89976867.45
Juan Hernández,88655301,33,F,3865526098,juan.hernández@gmail.com,SuperAutos,2020-07-16,41319283.52,7850663,49169946.52
Andrés Ramírez,68749211,49,F,3730051956,andrés.ramírez@gmail.com,CarrosYA,2023-02-09,38585070.42,7331163,45916233.42
Juan Martínez,11992071,79,M,3923664233,juan.martínez@gmail.com,AutoCenter,2023-06-09,190035466.61,36106738,226142204.61
Pedro Pérez,18881910,50,M,3578152335,pedro.pérez@gmail.com,CarrosYA,2022-09-04,93239815.63,17715564,110955379.63
Laura Rodríguez,57125564,31,F,3247181071,laura.rodríguez@gmail.com,CarrosYA,2021-08-22,130923684.99,24875500,155799184.99
Juan Ramírez,2779370,72,F,3098034210,juan.ramírez@gmail.com,CarrosYA,2020-05-21,85671957.12,16277671,101949628.12
Ana Torres,36137680,73,M,3532917277,ana.torres@gmail.com,AutoCenter,2020-12-18,163713209.06,31105509,194818718.06
Laura Pérez,29951736,76,M,3197738886,laura.pérez@gmail.com,CarrosYA,2020-03-15,72531837.75,13781049,86312886.75
Pedro Hernández,17999144,48,F,3020165327,pedro.hernández@gmail.com,AutoCenter,2023-01-27,189222179.24,35952214,225174393.24
Laura Ramírez,88470218,33,M,3636716424,laura.ramírez@gmail.com,MotorCity,2021-12-03,88420393.73,16799874,105220267.73
María García,8760976,41,F,3239878766,maría.garcía@gmail.com,MotorCity,2020-09-23,46562974.41,8846965,55409939.41
Carlos Gómez,71342583,37,F,3317726354,carlos.gómez@gmail.com,AutoCenter,2020-05-26,160415091.86,30478867,190893958.86
Camila Moreno,7827232,50,F,3055371574,camila.moreno@gmail.com,Vehimotors,2023-10-06,131381531.33,24962490,156344021.33
Ana Moreno,68706781,74,F,3767579984,ana.moreno@gmail.com,CarrosYA,2021-05-04,174046896.26,33068910,207115806.26
Camila García,12544475,58,F,3742846894,camila.garcía@gmail.com,Vehimotors,2021-10-19,133735332.11,25409713,159145045.11
Luis Martínez,30277550,54,M,3095605481,luis.martínez@gmail.com,Vehimotors,2021-04-28,51123701.09,9713503,60837204.09
Carlos Rodríguez,70139758,53,M,3876393564,carlos.rodríguez@gmail.com,MotorCity,2021-07-22,112855125.24,21442473,134297598.24
Pedro Gómez,62213051,49,F,3993905072,pedro.gómez@gmail.com,Vehimotors,2021-08-11,141100540.08,26809102,167909642.08
Camila Hernández,40260702,76,M,3960336393,camila.hernández@gmail.com,CarrosYA,2023-05-18,114083765.47,21675915,135759680.47
Camila Gómez,9137066,67,M,3169125681,camila.gómez@gmail.com,Vehimotors,2020-09-01,104237347.12,19805095,124042442.12
Juan Torres,77369751,31,M,3269920616,juan.torres@gmail.com,MotorCity,2021-09-20,131204006.8,24928761,156132767.8
Ana Ramírez,55193644,64,F,3532883086,ana.ramírez@gmail.com,CarrosYA,2022-11-10,83245106.73,15816570,99061676.73
Luis Gómez,13220918,78,F,3939498942,luis.gómez@gmail.com,MotorCity,2020-03-22,153049364.99,29079379,182128743.99
Andrés Hernández,13278813,68,F,3353111234,andrés.hernández@gmail.com,CarrosYA,2020-04-04,104789110.14,19909930,124699040.14
Andrés Martínez,18530506,78,F,3741101919,andrés.martínez@gmail.com,MotorCity,2023-07-17,46840038.02,8899607,55739645.02
María Martínez,53999797,39,F,3239216724,maría.martínez@gmail.com,AutoCenter,2021-11-30,87577759.61,16639774,104217533.61
Ana Rodríguez,55491971,51,F,3253079485,ana.rodríguez@gmail.com,CarrosYA,2024-02-28,110304671.86,20957887,131262558.86
María Gómez,51351157,58,F,3211668781,maría.gómez@gmail.com,AutoCenter,2022-07-20,167924290.97,31905615,199829905.97
Camila Rodríguez,32247265,42,M,3618282971,camila.rodríguez@gmail.com,MotorCity,2021-05-04,70004177.2,13300793,83304970.2
Andrés Hernández,79374087,70,M,3863354685,andrés.hernández@gmail.com,Vehimotors,2024-12-28,133062714.44,25281915,158344629.44
Camila López,54906736,71,M,3428017965,camila.lópez@gmail.com,Vehimotors,2021-01-18,180343820.25,34265325,214609145.25
Andrés López,9071194,23,F,3013095147,andrés.lópez@gmail.com,Vehimotors,2023-02-13,182625767.92,34698895,217324662.92
Ana López,65905385,59,M,3588534695,ana.lópez@gmail.com,MotorCity,2020-08-04,38017032.32,7223236,45240268.32
Camila Ramírez,79428652,51,F,3630051676,camila.ramírez@gmail.com,Vehimotors,2024-01-16,59280288.64,11263254,70543542.64
Carlos Ramírez,40909966,20,M,3032254896,carlos.ramírez@gmail.com,Vehimotors,2024-10-28,76691674.53,14571418,91263092.53
Laura Gómez,8807096,57,F,3792614944,laura.gómez@gmail.com,MotorCity,2023-01-12,115674941.41,21978238,137653179.41
Ana Moreno,75285349,66,F,3653448644,ana.moreno@gmail.com,CarrosYA,2020-11-25,100312972.15,19059464,119372436.15
Juan García,7212224,37,F,3423610057,juan.garcía@gmail.com,MotorCity,2024-06-01,162451850.45,30865851,193317701.45
Ana Martínez,80806314,34,M,3922031000,ana.martínez@gmail.com,SuperAutos,2020-04-12,71782652.7,13638704,85421356.7
María Pérez,27866451,43,F,3241167793,maría.pérez@gmail.com,MotorCity,2024-07-24,73573827.48,13979027,87552854.48
Juan Hernández,79727767,78,M,3410253519,juan.hernández@gmail.com,CarrosYA,2024-11-13,125274838.24,23802219,149077057.24
Pedro López,55441748,73,M,3365143531,pedro.lópez@gmail.com,Vehimotors,2022-10-29,48956866.66,9301804,58258670.66
Sofía Hernández,29079841,74,M,3428589126,sofía.hernández@gmail.com,SuperAutos,2020-04-27,130558645.01,24806142,155364787.01
Juan López,66209454,71,M,3158717013,juan.lópez@gmail.com,Vehimotors,2022-09-24,67368506.35,12800016,80168522.35
Ana Torres,77978823,58,M,3413499512,ana.torres@gmail.com,SuperAutos,2024-03-06,190545278.35,36203602,226748880.35
Ana Hernández,27156162,36,F,3266568571,ana.hernández@gmail.com,SuperAutos,2020-03-29,55241730.39,10495928,65737658.39
Juan Gómez,21256561,49,M,3077268647,juan.gómez@gmail.com,AutoCenter,2020-07-22,31300944.33,5947179,37248123.33
Luis López,60520332,25,F,3959653092,luis.lópez@gmail.com,Vehimotors,2024-10-19,197199239.9,37467855,234667094.9
Juan Ramírez,51835497,75,M,3662535071,juan.ramírez@gmail.com,SuperAutos,2021-12-14,153925271.69,29245801,183171072.69
Juan López,68649320,60,M,3895222199,juan.lópez@gmail.com,SuperAutos,2024-11-13,30972570.71,5884788,36857358.71
Luis Torres,94607262,52,M,3329370745,luis.torres@gmail.com,AutoCenter,2021-09-26,52992663.45,10068606,63061269.45
Andrés Moreno,37514162,35,F,3538337371,andrés.moreno@gmail.com,SuperAutos,2020-07-29,159397061.78,30285441,189682502.78
María Hernández,51360334,47,F,3818634076,maría.hernández@gmail.com,CarrosYA,2021-02-01,169724676.08,32247688,201972364.08
Carlos Torres,8249345,31,F,3357161341,carlos.torres@gmail.com,AutoCenter,2023-07-05,197700706.31,37563134,235263840.31
Carlos Hernández,47079557,58,F,3742802098,carlos.hernández@gmail.com,AutoCenter,2023-08-23,178790354.13,33970167,212760521.13
Carlos Ramírez,70331171,58,M,3696551380,carlos.ramírez@gmail.com,SuperAutos,2022-10-06,179740143.98,34150627,213890770.98
Andrés Martínez,41046969,49,F,3262716341,andrés.martínez@gmail.com,SuperAutos,2024-05-11,141262094.3,26839797,168101891.3
Andrés Hernández,48434941,76,F,3477622521,andrés.hernández@gmail.com,CarrosYA,2021-03-19,189898118.6,36080642,225978760.6
Carlos Gómez,68738271,32,M,3475924341,carlos.gómez@gmail.com,Vehimotors,2021-07-09,119460433.48,22697482,142157915.48
Camila Hernández,80697113,59,M,3591755892,camila.hernández@gmail.com,CarrosYA,2022-12-11,108038530.23,20527320,128565850.23
Pedro López,4222226,76,M,3813329723,pedro.lópez@gmail.com,SuperAutos,2020-05-22,194724050.78,36997569,231721619.78
Laura Rodríguez,51557210,78,F,3556805198,laura.rodríguez@gmail.com,AutoCenter,2024-12-15,152140341.62,28906664,181047005.62
Carlos Hernández,5602725,69,F,3960684366,carlos.hernández@gmail.com,AutoCenter,2020-07-06,182473697.89,34670002,217143699.89
Ana Gómez,55778160,47,F,3588761463,ana.gómez@gmail.com,MotorCity,2021-01-04,37587561.5,7141636,44729197.5
Sofía Torres,85907262,50,F,3739638473,sofía.torres@gmail.com,AutoCenter,2024-03-05,43594873.34,8283025,51877898.34
Carlos Martínez,54369017,57,F,3644310466,carlos.martínez@gmail.com,SuperAutos,2024-12-22,181416966.11,34469223,215886189.11
Luis Ramírez,15453888,27,F,3344757496,luis.ramírez@gmail.com,CarrosYA,2021-03-21,82516819.07,15678195,98195014.07
Andrés Torres,91507940,71,F,3743327301,andrés.torres@gmail.com,Vehimotors,2022-10-01,80898781.5,15370768,96269549.5
Laura López,67422928,63,F,3950757122,laura.lópez@gmail.com,MotorCity,2020-05-18,119292359.36,22665548,141957907.36
Camila López,17138886,69,M,3555708623,camila.lópez@gmail.com,CarrosYA,2023-03-20,70243815.09,13346324,83590139.09
Sofía Martínez,68970696,51,M,3617239542,sofía.martínez@gmail.com,CarrosYA,2021-09-14,144511815.78,27457244,171969059.78
Camila Hernández,25840745,41,F,3517764490,camila.hernández@gmail.com,Vehimotors,2023-11-09,41844876.64,7950526,49795402.64
Luis García,69020452,65,F,3684256456,luis.garcía@gmail.com,SuperAutos,2020-09-13,162727585.67,30918241,193645826.67
Luis Hernández,51910494,58,M,3067237726,luis.hernández@gmail.com,MotorCity,2024-05-27,135953849.35,25831231,161785080.35
Camila Rodríguez,76819687,64,F,3168343784,camila.rodríguez@gmail.com,Vehimotors,2020-03-01,162879026.3,30947014,193826040.3
Laura Torres,84057671,39,M,3633160134,laura.torres@gmail.com,Vehimotors,2023-10-04,47609883.58,9045877,56655760.58
Sofía Rodríguez,27971160,40,F,3284400423,sofía.rodríguez@gmail.com,MotorCity,2020-12-15,158786996.39,30169529,188956525.39
Carlos García,4102800,51,F,3518776023,carlos.garcía@gmail.com,CarrosYA,2023-12-02,54136662.5,10285965,64422627.5
Sofía Torres,98732326,63,M,3327699577,sofía.torres@gmail.com,MotorCity,2021-12-08,43715923.01,8306025,52021948.01
Ana Rodríguez,72681955,42,F,3432175669,ana.rodríguez@gmail.com,MotorCity,2020-11-09,143751891.93,27312859,171064750.93
Juan Gómez,95176245,18,F,3030558759,juan.gómez@gmail.com,Vehimotors,2023-01-16,45817679.79,8705359,54523038.79
Carlos Pérez,96850989,34,M,3344046371,carlos.pérez@gmail.com,MotorCity,2024-10-05,135612573.3,25766388,161378961.3
Andrés Torres,23309745,26,F,3915334831,andrés.torres@gmail.com,Vehimotors,2023-11-25,70701392.84,13433264,84134656.84
Laura Ramírez,8580652,19,F,3550536226,laura.ramírez@gmail.com,MotorCity,2024-08-02,77946700.92,14809873,92756573.92
Carlos Martínez,57231768,49,F,3288073790,carlos.martínez@gmail.com,AutoCenter,2020-02-10,90295789.63,17156200,107451989.63
Andrés Moreno,46399621,49,M,3557937695,andrés.moreno@gmail.com,CarrosYA,2020-06-22,166258715.37,31589155,197847870.37
Sofía Rodríguez,18877642,46,M,3945718905,sofía.rodríguez@gmail.com,CarrosYA,2022-11-16,199818088.33,37965436,237783524.33
Laura Rodríguez,5571163,63,F,3580039401,laura.rodríguez@gmail.com,AutoCenter,2023-03-24,99823519.43,18966468,118789987.43
Pedro López,61440536,74,M,3079623530,pedro.lópez@gmail.com,SuperAutos,2023-09-20,154860967.95,29423583,184284550.95
Carlos Rodríguez,57531370,69,F,3551639161,carlos.rodríguez@gmail.com,CarrosYA,2020-12-11,38616008.21,7337041,45953049.21
Sofía Moreno,89342374,67,M,3287985216,sofía.moreno@gmail.com,MotorCity,2024-09-12,35510766.44,6747045,42257811.44
Ana Rodríguez,87380999,31,M,3453411025,ana.rodríguez@gmail.com,Vehimotors,2022-08-19,137927100.71,26206149,164133249.71
Juan Rodríguez,59077873,39,M,3375402313,juan.rodríguez@gmail.com,AutoCenter,2021-12-17,51560082.12,9796415,61356497.12
Juan García,21049621,66,F,3713565900,juan.garcía@gmail.com,Vehimotors,2023-04-14,152056914.11,28890813,180947727.11
Carlos López,95593730,55,F,3775595585,carlos.lópez@gmail.com,SuperAutos,2022-10-10,91524724.12,17389697,108914421.12
Andrés Pérez,92389370,56,M,3441959819,andrés.pérez@gmail.com,Vehimotors,2023-04-11,65186958.82,12385522,77572480.82
Camila Ramírez,76853042,22,M,3358834645,camila.ramírez@gmail.com,CarrosYA,2021-07-16,68351936.29,12986867,81338803.29
María Martínez,79361686,24,M,3112259711,maría.martínez@gmail.com,Vehimotors,2022-06-12,58545031.94,11123556,69668587.94
Carlos Hernández,20648774,68,F,3670888725,carlos.hernández@gmail.com,AutoCenter,2022-04-19,47451480.34,9015781,56467261.34
Ana Gómez,61574556,80,F,3132011522,ana.gómez@gmail.com,SuperAutos,2020-08-25,94882004.17,18027580,112909584.17
Camila Ramírez,36035342,56,F,3363950911,camila.ramírez@gmail.com,Vehimotors,2020-09-25,136440156.77,25923629,162363785.77
María Rodríguez,42623108,49,M,3687883372,maría.rodríguez@gmail.com,Vehimotors,2021-01-07,196714895.63,37375830,234090725.63
Pedro García,29876027,63,F,3337474907,pedro.garcía@gmail.com,Vehimotors,2021-12-20,69647720.17,13233066,82880786.17
Andrés Rodríguez,54668473,41,F,3762371230,andrés.rodríguez@gmail.com,CarrosYA,2021-11-04,75702662.35,14383505,90086167.35
Luis Rodríguez,35267472,60,M,3572121660,luis.rodríguez@gmail.com,CarrosYA,2021-07-05,150236987.76,28545027,178782014.76
María López,58348276,71,F,3719613665,maría.lópez@gmail.com,SuperAutos,2022-10-24,71948609.46,13670235,85618844.46
Luis Martínez,25087922,50,M,3916952969,luis.martínez@gmail.com,CarrosYA,2023-09-08,179798276.88,34161672,213959948.88
Laura Pérez,85621021,37,F,3687764751,laura.pérez@gmail.com,MotorCity,2021-07-10,72400675.53,13756128,86156803.53
Camila Hernández,94724841,57,F,3450574384,camila.hernández@gmail.com,SuperAutos,2022-07-13,53784148.66,10218988,64003136.66
Laura López,30985348,24,F,3620378270,laura.lópez@gmail.com,CarrosYA,2022-01-14,178790558.33,33970206,212760764.33
Camila García,86440847,63,F,3643525431,camila.garcía@gmail.com,MotorCity,2022-11-13,63969422.95,12154190,76123612.95
Luis García,33113590,59,F,3220664649,luis.garcía@gmail.com,AutoCenter,2020-08-01,108877239.49,20686675,129563914.49
Laura Moreno,95711416,37,M,3592581085,laura.moreno@gmail.com,AutoCenter,2022-09-02,109993105.77,20898690,130891795.77
Sofía Martínez,28096778,31,F,3652113932,sofía.martínez@gmail.com,AutoCenter,2022-05-19,96431345.53,18321955,114753300.53
Juan López,98253623,21,F,3398823231,juan.lópez@gmail.com,AutoCenter,2023-06-01,88266237.07,16770585,105036822.07
Carlos Martínez,45601626,64,F,3832523868,carlos.martínez@gmail.com,Vehimotors,2021-04-25,118549012.54,22524312,141073324.54
Andrés Rodríguez,15753206,79,F,3293660746,andrés.rodríguez@gmail.com,Vehimotors,2024-03-12,144117820.99,27382385,171500205.99
Pedro Moreno,30090421,77,M,3571672222,pedro.moreno@gmail.com,AutoCenter,2024-01-13,137040673.74,26037728,163078401.74
Laura Martínez,35126591,30,M,3841062510,laura.martínez@gmail.com,AutoCenter,2024-12-02,61053134.68,11600095,72653229.68
Sofía Martínez,90450937,18,F,3153416427,sofía.martínez@gmail.com,Vehimotors,2023-08-02,87797842.73,16681590,104479432.73
María García,94231656,78,F,3663280230,maría.garcía@gmail.com,SuperAutos,2024-03-20,159501965.44,30305373,189807338.44
Camila Martínez,16077206,32,F,3321774940,camila.martínez@gmail.com,CarrosYA,2020-05-26,112454045.86,21366268,133820313.86
Ana Hernández,26065073,54,M,3150478476,ana.hernández@gmail.com,MotorCity,2021-05-18,153673843.28,29198030,182871873.28
María Gómez,11329879,63,F,3028089603,maría.gómez@gmail.com,SuperAutos,2022-08-05,195047982.62,37059116,232107098.62
Ana Gómez,94434855,62,M,3645007795,ana.gómez@gmail.com,Vehimotors,2024-12-12,92935274.77,17657702,110592976.77
Laura Hernández,39345202,70,M,3080721359,laura.hernández@gmail.com,AutoCenter,2023-03-20,198826117.61,37776962,236603079.61
Pedro López,1487526,39,M,3610174868,pedro.lópez@gmail.com,AutoCenter,2022-05-26,150805724.39,28653087,179458811.39
Pedro Martínez,56156436,52,F,3748504560,pedro.martínez@gmail.com,Vehimotors,2023-12-17,173547168.62,32973962,206521130.62
Juan Gómez,14218174,22,F,3523786296,juan.gómez@gmail.com,Vehimotors,2024-07-27,30650826.15,5823656,36474482.15
María Pérez,20188623,76,F,3219174071,maría.pérez@gmail.com,Vehimotors,2020-06-30,105340158.33,20014630,125354788.33
Camila García,79773200,22,M,3123418792,camila.garcía@gmail.com,CarrosYA,2021-04-14,33088911.39,6286893,39375804.39
María Moreno,41914973,18,F,3918887363,maría.moreno@gmail.com,AutoCenter,2021-02-22,141558088.06,26896036,168454124.06
María Martínez,95962171,35,F,3128659911,maría.martínez@gmail.com,MotorCity,2023-08-26,126123595.09,23963483,150087078.09
Laura Moreno,91768932,62,M,3886537608,laura.moreno@gmail.com,SuperAutos,2020-07-26,129592006.5,24622481,154214487.5
Andrés Gómez,39463362,28,F,3938479565,andrés.gómez@gmail.com,Vehimotors,2024-05-16,107625248.54,20448797,128074045.54
Ana Ramírez,83112692,28,M,3466826793,ana.ramírez@gmail.com,Vehimotors,2022-08-07,193268181.81,36720954,229989135.81
Pedro Hernández,21191424,56,F,3422436474,pedro.hernández@gmail.com,AutoCenter,2021-05-17,103134670.57,19595587,122730257.57
Luis Ramírez,3093119,19,F,3762108305,luis.ramírez@gmail.com,MotorCity,2022-03-13,91110519.77,17310998,108421517.77
Andrés García,97328703,76,F,3617896413,andrés.garcía@gmail.com,Vehimotors,2023-11-10,133418895.66,25349590,158768485.66
Camila Torres,32487838,45,M,3338376686,camila.torres@gmail.com,SuperAutos,2022-12-03,48054572.27,9130368,57184940.27
Andrés Moreno,47210356,27,M,3261178347,andrés.moreno@gmail.com,MotorCity,2021-03-17,53543392.53,10173244,63716636.53
Andrés Moreno,38334725,44,M,3586479395,andrés.moreno@gmail.com,CarrosYA,2020-06-25,133499944.88,25364989,158864933.88
Pedro López,66519264,37,M,3998671303,pedro.lópez@gmail.com,Vehimotors,2022-04-23,86565909.17,16447522,103013431.17
Carlos Rodríguez,17673833,67,M,3024223479,carlos.rodríguez@gmail.com,SuperAutos,2022-11-20,181528672.53,34490447,216019119.53
Andrés Moreno,70873924,23,F,3652710516,andrés.moreno@gmail.com,CarrosYA,2022-10-08,108051754.03,20529833,128581587.03
María Martínez,8726419,32,F,3986658258,maría.martínez@gmail.com,AutoCenter,2021-10-07,144134222.2,27385502,171519724.2
Sofía Ramírez,79473367,25,M,3224912991,sofía.ramírez@gmail.com,CarrosYA,2020-03-20,71505467.49,13586038,85091505.49
Andrés García,17411862,75,F,3161704984,andrés.garcía@gmail.com,Vehimotors,2022-07-01,131462024.35,24977784,156439808.35
María Moreno,37660618,65,F,3452860200,maría.moreno@gmail.com,Vehimotors,2023-12-08,58579411.82,11130088,69709499.82
Laura Ramírez,43264865,26,F,3067649578,laura.ramírez@gmail.com,MotorCity,2021-10-09,117483657.01,22321894,139805551.01
Camila Moreno,9691756,43,M,3399142777,camila.moreno@gmail.com,AutoCenter,2024-07-31,179677173.39,34138662,213815835.39
Ana García,96631529,52,M,3791334783,ana.garcía@gmail.com,CarrosYA,2024-07-11,87213551.83,16570574,103784125.83
